id,title,description,link,img_link,tags,img_meta,date,embedding
68,La Iglesia de Villanueva,Leyendo 100 Años de Soledad recuerdo una emoción que no me d,https://sancheznoseke.substack.com/p/la-iglesia-de-villanueva,../assets/archive/iglesia_villanueva.png,"[""narrativa"", ""artículo"", ""substack""]","'In proof of true love, a watercarrier skeleton arguing with a woman (Posada); two skeleton angels in upper corners (Manilla)' [729644], José Guadalupe Posada",,
67,"Nueva Casa, 18 Libros","Hace poco, me mudé a una nueva —y pequeña— casa",https://sancheznoseke.substack.com/p/nueva-casa-18-libros,../assets/archive/nueva_casa_18_libros.png,"[""narrativa"", ""artículo"", ""substack""]","'Forty-eight vignettes of bullfighting manoeuvers and scenes from the ring' [399851], Anonymous",,
66,Otra Vuelta Más 2025,He pensado que podría ser interesante hacer una especie de w,https://sancheznoseke.substack.com/p/otra-vuelta-mas-2025,../assets/archive/otra_vuelta_mas_2025.png,"[""narrativa"", ""artículo"", ""substack""]","'Masked Figure Pendant' [312491], ",,
65,Vegas: Casi Lugar,Al llegar a las Vegas lo primero que nos impresionó fue ver ,https://sancheznoseke.substack.com/p/vegas-casi-lugar,../assets/archive/vegas_casi_lugar.png,"[""narrativa"", ""artículo"", ""substack""]","'Textile Fragment' [443499], ",,
64,Pequeño Estudio Sobre la Nada,El resto de mes lo pasé preguntando,https://sancheznoseke.substack.com/p/pequeno-estudio-sobre-la-nada,../assets/archive/pequeno_estudio_nada.png,"[""narrativa"", ""artículo"", ""substack""]","'Alex Martins, from the Actors and Actresses series (N45, Type 1) for Virginia Brights Cigarettes' [412108], Allen & Ginter",,
63,Un Castellano para Borges,"Lo bueno del lenguaje es que nos deja jugar con él, declinar",https://sancheznoseke.substack.com/p/un-castellano-para-borges,../assets/archive/castellano_borges.png,"[""narrativa"", ""artículo"", ""substack""]","'Scarab amulet' [568978], ",,
62,Japón en Cuatro Tragos,Japón,https://sancheznoseke.substack.com/p/japon-en-cuatro-tragos,../assets/archive/japon_cuatro_tragos.png,"[""narrativa"", ""artículo"", ""substack""]","'Vase' [450941], ",,
61,Ojos Verdes,Sobre la soledad en un futuro posible.,../Documents/ojos_verdes.html,../assets/archive/ojos_verdes.png,"[""memoria"", ""distopía"", ""ciencia ficción"", ""filosofía"", ""narrativa"", ""ia"", ""tecnología"", ""literatura""]","'Colgante céltico' [313018], artista(s) de la Gran Nicoya/región central",,
60,Slop,"Y mientras, nuestra biblioteca de Alejandría —Internet— arde",https://sancheznoseke.substack.com/p/slop,../assets/archive/slop.png,"[""artículo"", ""substack"", ""literatura""]","'Covered slop jar' [2473], United States Pottery Company",,
59,Diccionario Cibernácular,Mi pequeño idiolecto,../Documents/diccionario.html,../assets/archive/diccionario.png,"[""literatura""]","'Tomb Effigy of a Boy, Probably Ermengol IX, Count of Urgell' [471965], ",,
58,Espacio Vacío,"Como en todos los aeropuertos, la puerta de Barajas es un pu",https://sancheznoseke.substack.com/p/espacio-vacio,../assets/archive/espacio_vacio.png,"[""artículo"", ""substack"", ""literatura""]","'Pierced Window Screen (Jali)' [453241], ",,
57,Memorias Contemporáneas de un Comensal en Francia,"Hace poco, 70 años después de Liebling, me dio por patearme ",https://sancheznoseke.substack.com/p/memorias-contemporaneas-de-un-comensal,../assets/archive/memorias_contemporaneas_comensal_francia.png,"[""artículo"", ""substack"", ""literatura""]","'Woman Playing a Guitar' [747607], Simon Vouet",,
56,Tenerife 105.7,Llevo un par de semanas haciendo rutina en Tenerife,https://sancheznoseke.substack.com/p/tenerife-1057,../assets/archive/tenerife_1057.png,"[""artículo"", ""substack"", ""literatura""]","'The Beggar who Professed his Love for a Prince', Folio 28r from a Mantiq al-Tayr (Language of the Birds)' [451729], Farid al-Din `Attar",,
55,Pastiche,Zine que fui llenando de artistadas varias.,https://www.webtoons.com/en/challenge/dashboardEpisode?titleNo=966909,../assets/archive/pastiche.png,"[""zine"", ""edit"", ""galería""]","'Pastiche in the manner of Bassano' [640239], Baron Dominique Vivant Denon",,
54,Memes,Memes de cosecha propia.,https://elalber2000.github.io/lacaverna/Sections/gallery_memes.html,../assets/archive/memes.png,"[""edit"", ""galería""]","'Study of a Nude Man' [436406], Pierre Narcisse Guérin",,
53,14 Apocalipsis de Bolsillo,14 micropoemas sobre el fin del mundo,https://www.webtoons.com/en/canvas/los-fanzines-de-sánchez/14-apocalipsis-de-bolsillo/viewer?title_no=821593&episode_no=5&webtoonType=CHALLENGE,../assets/archive/14_apocalipsis_bolsillo.png,"[""zine"", ""edit"", ""galería""]","'Leaves from a Beatus Manuscript: Bifolium with part of the Genealogy of Christ and the Adoration of the Magi' [466197], ",,
52,An LLM-Based Approach for Insight Generation in Data Analysis,Paper sobre generación de insights con modelos de lenguaje,https://arxiv.org/abs/2503.11664,../assets/archive/an_llmbased_approach_for_insight_generation_in_data_analysis.png,"[""ia"", ""tecnología""]","'Queen of Belgium, from World's Sovereigns series (N34) for Allen & Ginter Cigarettes' [420491], Allen & Ginter",,
51,Descent to the Dark Net,Extensión del RPG Cy-Borg,https://elalber2000.itch.io/descent-to-the-dark-net,../assets/archive/descent_to_the_dark_net.png,"[""rpg"", ""edit"", ""galería""]","'Kneeling Black woman' [193627], ",,
50,Enoc,Poemario ilustrado sobre una ciudad maldita,https://www.webtoons.com/en/challenge/los-fanzines-de-sánchez/enoc/viewer?title_no=821593&episode_no=1&webtoonType=CHALLENGE,../assets/archive/enoc.png,"[""poesía"", ""edit"", ""galería"", ""literatura""]","'Printed Book with Silva Nuptialis Bonis Referta Non Modicis' [466568], Johannes Nevizanus",,
49,Memorias de Perekrestok,Memorias artificiales sobre un país inexistente.,https://www.webtoons.com/en/challenge/los-fanzines-de-sánchez/memorias-de-perekrestok/viewer?title_no=821593&episode_no=2&webtoonType=CHALLENGE,../assets/archive/memorias_perekrestok.png,"[""zine"", ""galería"", ""ia"", ""memoria"", ""tecnología""]","'Ignacio Garcini y Queralt (1752–1825), Brigadier of Engineers' [436542], Goya (Francisco de Goya y Lucientes)",,
48,NeoBohemia,Relatos del viaje de Marx Estrella por la ciudad maldita,https://www.webtoons.com/en/canvas/los-fanzines-de-sánchez/neo-bohemia/viewer?title_no=821593&episode_no=4&webtoonType=CHALLENGE,../assets/archive/neobohemia.png,"[""cómic"", ""edit"", ""galería""]","'A Bull Lying Down, and Two Donkeys, in a Landscape' [459757], Giovanni Domenico Tiepolo",,
47,Dioses de Alquiträn,Panteón de dioses modernos.,https://www.webtoons.com/en/canvas/los-fanzines-de-sánchez/dioses-de-alquitr%C3%A4n/viewer?title_no=821593&episode_no=3,../assets/archive/dioses_alquitran.png,"[""zine"", ""edit"", ""galería""]","'Ceramic Fragment' [446434], ",,
46,Barcelona. 11 Horas y Cuarto,Suena el despertador,https://sancheznoseke.substack.com/p/barcelona-11-horas-y-cuarto,../assets/archive/barcelona_11_horas_cuarto.png,"[""artículo"", ""substack"", ""literatura""]","'Battle between Christians and Muslims at El Sotillo' [437969], Francisco de Zurbarán",,
45,Micromanifiesto Neo-NeoBarroco,"Domscrolling, brainrot, TikTok, hiperpop, FOMO, deep fried m",https://sancheznoseke.substack.com/p/micromanifiesto-neo-neobarroco,../assets/archive/micromanifiesto_neoneobarroco.png,"[""artículo"", ""substack"", ""literatura""]","'Saint Catherine of Alexandria' [464707], ",,
44,Querido Tres Cejas:,"Según un estudio de Reino Unido, el 46% de los psicólogos di",https://sancheznoseke.substack.com/p/querido-tres-cejas,../assets/archive/querido_tres_cejas.png,"[""artículo"", ""substack"", ""literatura""]","'Key' [468837], ",,
43,La Deriva Cibernética,Juro que lo he intentado,https://sancheznoseke.substack.com/p/la-deriva-cibernetica,../assets/archive/deriva_cibernetica.png,"[""artículo"", ""substack"", ""literatura""]","'Caricatured Mexican, 5 Centavos, from the series Coins of All Nations (N72, variation 2) for Duke brand cigarettes' [423126], W. Duke, Sons & Co.",,
42,El Enclave Subterráneo,Sobre los lugares que esconde la urbe.,../Documents/metrorrelato.html,../assets/archive/metrorrelatos.png,"[""microrrelato"", ""narrativa"", ""literatura""]","'Botella con forma de felino' [317793], artista(s) Wari",,
41,Blackout,Solo un apagón puede acabar con la corrupción.,https://www.youtube.com/watch?v=XKBwlNi3u9M,../assets/archive/blackout.png,"[""vídeo"", ""ia"", ""distopía"", ""tecnología""]","'Death of Hercules from The Labors of Hercules (copy)' [416154], Sebald Beham",,
40,Primavera Otaku,Falso documental sobre el extremismo otaku,https://www.youtube.com/watch?v=ELS7kzAY9tc,../assets/archive/primavera_otaku.png,"[""vídeo"", ""comedia"", ""falso documental""]","'Papyrus Fragment' [479304], ",,
39,Reducción al Absurdo,Podcast con amigos sobre matemáticas y mierdas varias,https://open.spotify.com/show/3A64vZ4OJwXz3OvZGMIcNa?si=V9bdiwLyRKuNNFjVTd6MLw&nd=1,../assets/archive/reduccion_absurdo.png,"[""podcast"", ""comedia"", ""matemáticas""]","'Tile' [452070], ",,
38,Monólogo Españita,Pequeño monólogo sobre Españita,https://www.youtube.com/watch?v=dvnmXU-5GaE,../assets/archive/monologo_espanita.png,"[""comedia""]","'Amulet in the Form of a falcon' [558524], ",,
37,Tres Sombreros de Copa,La única obra de teatro en la que he actuado,https://www.youtube.com/watch?v=kRFABA0dxn4,../assets/archive/tres_sombreros_copa.png,"[""teatro"", ""vídeo""]","'The Adoration of the Magi' [435724], Hieronymus Bosch",,
36,El Hombre que se Perdió en una Biblioteca,Sobre los recovecos que se esconden tras las grandes bibliotecas.,../Documents/el_hombre_que_se_perdio.html,../assets/archive/el_hombre_que_se_perdio.png,"[""fantasía"", ""narrativa"", ""literatura""]","'Brazo izquierdo con trazas de cartucho de Atón' [549811], artista desconocido",,
35,La Sociedad de Descubrimientos Asombrosos,Sobre la magia que esconden los descubrimientos.,../Documents/descubrimientos.html,../assets/archive/descubrimientos.png,"[""realismo mágico"", ""narrativa"", ""literatura""]","'Cardenal Fernando Niño de Guevara (1541-1609)' [436573], El Greco (Doménikos Theotokopoulos)",,
34,Chatarra Virtual,Sobre una distopía con realidad aumentada.,../Documents/distopia.html,../assets/archive/distopia.png,"[""distopía"", ""ciencia ficción"", ""narrativa"", ""literatura""]","'Fragmento textil' [444229], artista desconocido",,
33,Hay Peores Crímenes,Sobre el encuentro casual entre un literato aficionado y un pirómano profesional.,../Documents/crimenes.html,../assets/archive/peores_crimenes.png,"[""fantasía"", ""narrativa"", ""literatura""]","'Fragmento textil' [443705], artista desconocido",,
32,Almizcle y Tabaco,Sobre la sombra del silencio que recorre nuestros pueblos.,../Documents/almizcle.html,../assets/archive/almizcle.png,"[""memoria"", ""realismo mágico"", ""narrativa"", ""literatura""]","'Fragmento de brazalete votivo' [573218], artista desconocido",,
31,Los Técnicos del Apocalípsis,Sobre la gente que crea y lamenta cada apocalípsis.,../Documents/tecnicos.html,../assets/archive/tecnicos.png,"[""distopía"", ""poesía"", ""literatura""]","'Henry Wadsworth Longfellow' [423515], W. Duke, Sons & Co.",,
30,Adán y el Fuego,Microteatro sobre la Mirada del Algoritmo.,../Documents/adan.html,../assets/archive/adan.png,"[""experimental"", ""teatro"", ""literatura""]","'Altar al Guerrero del Sol' [318674], artista(s) nahua de México",,
29,A tu Kebab le Falta Salsa,Monté un show de poesía experimental con tres amigos y de ah,https://sancheznoseke.substack.com/p/a-tu-kebab-le-falta-salsa,../assets/archive/kebab_falta_salsa.png,"[""artículo"", ""substack"", ""literatura""]","'Peg from Wah's Coffin' [576354], ",,
28,Poetómatas prehistóricos,"La antigua Web ha muerto, y la nueva está llena de robots",https://sancheznoseke.substack.com/p/poetomatas-prehistoricos,../assets/archive/poetomatas_prehistoricos.png,"[""artículo"", ""substack"", ""literatura""]","'D.D. Withers, from the Racing Colors of the World series (N22a) for Allen & Ginter Cigarettes' [409302], Allen & Ginter",,
27,La Otra Pasta,Hay recuerdos que quedan siempre en el fondo del cerebro,https://sancheznoseke.substack.com/p/la-otra-pasta,../assets/archive/otra_pasta.png,"[""artículo"", ""substack"", ""literatura""]","'Stylized Figure Pendant' [309957], Darién artist(s)",,
